model,Content only,Structural + content,Structural only,content_minus_structural,combined_minus_structural,combined_minus_content
Broad reach,0.012765814530633413,0.14096121886680046,0.12706081575254624,-0.11429500122191283,0.013900403114254223,0.12819540433616705
Per-user intensity,0.020592701799501345,0.12725754683249102,0.11644898171771956,-0.09585627991821821,0.010808565114771462,0.10666484503298967
Continuity,0.055548781502892,0.10756882728178874,0.08074196456607319,-0.02519318306318119,0.02682686271571555,0.05202004577889674
