track_bin,playlist_count,mean_non_owner_monthly_stream30s,mean_n_tracks,mean_owner_stream_share
0-10,22590,22.762107127047365,4.456883576803896,0.7716538238819396
10-25,52297,135.27921295676617,17.006310113390825,0.4433154848653906
25-50,71183,126.96317941081438,36.40713372574913,0.4818225538316165
50-100,91373,187.10001860505838,71.76613441607478,0.49681702581527265
100-250,103747,301.5612596026873,157.51734507985773,0.5301994859188209
250-500,44134,406.55079983686045,345.920537454117,0.5684483879811908
500-1000,20539,887.5585958420565,684.1063342908612,0.6037858605615509
1000+,11222,344.43931563001246,2271.501425770807,0.6338354827685364
