playlist_type,bucket,playlist_count,median_owner_stream_share,mean_owner_stream_share,aggregate_owner_stream_share,total_owner_stream30s,total_monthly_stream30s
Spotify-owned,1-4,19,0.0,0.0005817896438323276,1.588186343945689e-06,28,17630173
Spotify-owned,5-9,0,,,,0,0
Spotify-owned,10-24,39,0.0,0.012828475951176537,2.651961619847088e-06,11,4147873
Spotify-owned,25-49,162,0.0,0.0011718456046564438,2.6782093271721778e-06,199,74303378
Spotify-owned,50-99,131,2.847331495159394e-07,1.7621205361756622e-05,1.2983027588798281e-06,259,199491219
Spotify-owned,100-249,46,4.882992874575138e-07,3.7653091825287405e-05,1.3699643339774973e-06,96,70074817
Spotify-owned,250-499,2,0.0001017087062652563,0.0001017087062652563,0.00011420740063956144,1,8756
Spotify-owned,500+,0,,,,0,0
