playlist_type,bucket,playlist_count,median_owner_stream_share,mean_owner_stream_share,aggregate_owner_stream_share,total_owner_stream30s,total_monthly_stream30s
User-owned,1-4,58469,0.6666666666666666,0.5810440934204139,0.6585842725420319,14644868,22236893
User-owned,5-9,17017,0.38095238095238093,0.41869796601527093,0.19400819997810498,855957,4411963
User-owned,10-24,67315,0.48,0.4691346827940576,0.24485809329086447,3215047,13130246
User-owned,25-49,82510,0.5217391304347826,0.502244701138475,0.31921022367457663,5564351,17431619
User-owned,50-99,89834,0.5562913907284768,0.5226431513914791,0.27409374017612675,8261247,30140225
User-owned,100-249,75640,0.6296296296296297,0.5635375476796364,0.2513464085414526,10394202,41354090
User-owned,250-499,20269,0.7202216066481995,0.6118702325212643,0.21367459116308551,4204026,19674899
User-owned,500+,6031,0.7630057803468208,0.6334553109826384,0.304233518087681,1664147,5469966
